name,rxcui
aceclofenac,16689
acetazolamide,167
acyclovir,281
albendazole,430
aldactone,151317
alprazolam,596
aluminium hydroxide,612
amaryl,153592
amiloride,644
aminophylline,689
amiodarone,703
amlodipine,17767
amoxicillin,723
apixaban,1364430
artemether,18343
artesunate,18346
aspirin,1191
atenolol,1202
ativan,202479
atorvastatin,83367
augmentin,151392
azithromycin,18631
benadryl,203457
betamethasone,1514
bisoprolol,19484
bromhexine,1753
budesonide,19831
bumetanide,1808
caffeine,1886
calcium carbonate,1897
candesartan,214354
captopril,1998
carbamazepine,2002
carvedilol,20352
cefixime,25033
cefpodoxime,20489
ceftriaxone,2193
cephalexin,2231
cetirizine,20610
chloroquine,2393
chlorpheniramine,2400
chlorthalidone,2409
cholecalciferol,2418
ciprofloxacin,2551
citalopram,2556
clarithromycin,21212
clavulanate,48203
clonazepam,2598
clopidogrel,32968
clotrimazole,2623
coartem,718834
codeine,2670
crocin,2262278
cyclosporine,3008
cyproterone,3014
dabigatran,1546356
dalteparin,67109
dexamethasone,3264
dextromethorphan,3289
diazepam,3322
diclofenac,3355
dicyclomine,3361
digoxin,3407
dilantin,202740
diltiazem,3443
diphenhydramine,3498
domperidone,3626
dothiepin,3634
doxycycline,3640
dydrogesterone,3706
enalapril,3827
enoxaparin,67108
eplerenone,298869
erythrocin,645943
erythromycin,4053
escitalopram,321988
ethambutol,4110
ethinylestradiol,4124
fentanyl,4337
ferric ammonium citrate,24897
ferrous ascorbate,4356
ferrous fumarate,24941
flagyl,202866
fluconazole,4450
fluoxetine,4493
folic acid,4511
formoterol,25255
fragmin,281554
furosemide,4603
gabapentin,25480
gelusil,25689
gliclazide,4816
glimepiride,25789
glipizide,4821
glyburide,4815
guaifenesin,5032
heparin,235473
humalog,135805
hydrochlorothiazide,5487
hydroxychloroquine,5521
ibuprofen,5640
imipramine,5691
indapamide,5764
indomethacin,5781
insulin,253182
insulin glargine,274783
insulin lispro,86009
ipratropium,7213
iron polymaltose,37744
isocarboxazid,6011
isoniazid,6038
itraconazole,28031
ivermectin,6069
ketoconazole,6135
lantus,261551
lasix,202991
levetiracetam,114477
levofloxacin,82122
levonorgestrel,6373
levosalbutamol,237159
levothyroxine,10582
lisinopril,29046
lithium,6448
lopinavir,195088
lorazepam,6470
losartan,52175
lovastatin,6472
lumefantrine,847728
magnesium hydroxide,6581
mebendazole,6672
mefenamic acid,6693
metformin,6809
methotrexate,6851
methylcobalamin,29421
methylprednisolone,6902
metoclopramide,6915
metoprolol,6918
metoprolol succinate,221124
metronidazole,6922
minocycline,6980
montelukast,88249
morphine,7052
moxifloxacin,139462
naproxen,7258
nebivolol,31555
nimesulide,53694
norfloxacin,7517
norvasc,58927
ofloxacin,7623
olmesartan,321064
omeprazole,7646
ondansetron,26225
ornidazole,7701
oseltamivir,260101
oxycodone,7804
oxymetazoline,7812
pantoprazole,40790
paracetamol,161
paroxetine,32937
perindopril,54552
pethidine,6754
phenelzine,8123
phenobarbital,8134
phenylephrine,8163
phenytoin,8183
piroxicam,8356
potassium chloride,8591
prasugrel,613391
pravastatin,42463
prednisolone,8638
pregabalin,187832
primaquine,8687
prinivil,203644
progesterone,8727
promethazine,8745
propranolol,8787
pseudoephedrine,8896
pyrazinamide,8987
quinine,9071
ramipril,35296
ranitidine,9143
rifadin,202953
rifampicin,9384
rifampin,9384
ritonavir,85762
rivaroxaban,1114195
rosuvastatin,301542
salbutamol,435
selegiline,9639
serratiopeptidase,36434
sertraline,36437
simvastatin,36567
sodium bicarbonate,36676
sodium valproate,9919
spironolactone,9997
sporanox,202826
sulfasalazine,9524
tacrolimus,42316
tamiflu,261657
telmisartan,73494
terbinafine,37801
terbutaline,10368
tetracycline,10395
theophylline,10438
ticagrelor,1116632
torsemide,38413
tramadol,10689
tranylcypromine,10734
triamcinolone,10759
valacyclovir,73645
valium,202472
valsartan,69749
valtrex,152490
verapamil,11170
vitamin b complex,11251
vitamin d3,1244014
vitamin e,11256
voriconazole,121243
warfarin,11289
xylometazoline,39841
zinc,11416
zithromax,196474
zoloft,82728
